"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ASV724"	"nb_seq"	"nb_seq"	"nb_seq"	-7.39978061655634	-1.24755702628068	1.2121152250076	2.11964921159602e-05	0.0056932764271347	2.11964921159602e-05	0.00569079882934987	NA	"abundance"	185	39
"ASV494"	"nb_seq"	"nb_seq"	"nb_seq"	1.15490480851018	0	0.271802883269558	2.14676296962528e-05	0.0056932764271347	4.29347985333808e-05	0.00746630893578981	NA	"prevalence"	185	28
"ASV519"	"nb_seq"	"nb_seq"	"nb_seq"	1.19737328631172	0	0.282166623727257	2.20063090100392e-05	0.0056932764271347	4.40121337424422e-05	0.00746630893578981	NA	"prevalence"	185	30
"ASV581"	"nb_seq"	"nb_seq"	"nb_seq"	1.27380283141314	0	0.299254741597509	2.07574421575952e-05	0.0056932764271347	4.15144534437856e-05	0.00746630893578981	NA	"prevalence"	185	24
"ASV734"	"nb_seq"	"nb_seq"	"nb_seq"	1.03643592812791	0	0.244578535609693	2.25880984261909e-05	0.0056932764271347	4.51756866301914e-05	0.00746630893578981	NA	"prevalence"	185	38
"ASV8"	"nb_seq"	"nb_seq"	"nb_seq"	0.919814357085562	0	0.219856279361979	2.86793117593716e-05	0.00689998168828881	5.73578010158202e-05	0.00906752019537053	NA	"prevalence"	185	92
"ASV1047"	"nb_seq"	"nb_seq"	"nb_seq"	-5.71661733400328	-1.24755702628068	0.847088433983519	3.28691470274922e-05	0.00756419109637027	3.28691470274922e-05	0.00703013050540951	NA	"abundance"	185	28
"ASV1198"	"nb_seq"	"nb_seq"	"nb_seq"	-5.83453616950969	-1.24755702628068	0.91276171814771	3.732762754316e-05	0.00823229719108108	3.732762754316e-05	0.00746630893578981	NA	"abundance"	185	38
"ASV295"	"nb_seq"	"nb_seq"	"nb_seq"	1.00882312131683	0	0.24532717821379	3.91984784081898e-05	0.00829910184858195	7.83954202956702e-05	0.0114018299278023	NA	"prevalence"	185	29
"ASV512"	"nb_seq"	"nb_seq"	"nb_seq"	1.01853284269291	0	0.249226768342887	4.37417626769846e-05	0.00890481345574153	8.74816120121672e-05	0.0117808570843052	NA	"prevalence"	185	34
"ASV216"	"nb_seq"	"nb_seq"	"nb_seq"	1.14568805588536	0	0.28122570291674	4.62304571538815e-05	0.00906288184131462	9.24587770525944e-05	0.0120064326201155	NA	"prevalence"	185	31
"ASV234"	"nb_seq"	"nb_seq"	"nb_seq"	0.982781410522824	0	0.243476246867794	5.4264456845761e-05	0.0102579203601647	0.000108525969060245	0.0136069111552776	NA	"prevalence"	185	38
"ASV727"	"nb_seq"	"nb_seq"	"nb_seq"	0.967246244092747	0	0.240908287258379	5.9446348513941e-05	0.0108499835408376	0.000118889163159531	0.0144093665749351	NA	"prevalence"	185	28
"ASV1427"	"nb_seq"	"nb_seq"	"nb_seq"	-8.14618237573808	-1.24755702628068	1.40093006175668	6.76181189660507e-05	0.0111292104243705	6.76181189660507e-05	0.0102441450233567	NA	"abundance"	185	28
"ASV1059"	"nb_seq"	"nb_seq"	"nb_seq"	1.37749156466508	0	0.346863910333419	7.14893547002826e-05	0.0111292104243705	0.00014297359867273	0.0157227829578209	NA	"prevalence"	185	12
"ASV112"	"nb_seq"	"nb_seq"	"nb_seq"	1.04829447704036	0	0.263391241421721	6.89182001552657e-05	0.0111292104243705	0.000137831650592219	0.0156611212985409	NA	"prevalence"	185	30
"ASV38"	"nb_seq"	"nb_seq"	"nb_seq"	0.913599912628222	0	0.229030086213982	6.63537665088177e-05	0.0111292104243705	0.000132703130195305	0.0155647929480687	NA	"prevalence"	185	48
"ASV309"	"nb_seq"	"nb_seq"	"nb_seq"	1.01776662322943	0	0.257814469094841	7.89152514911595e-05	0.0111432774235432	0.000157824275365401	0.0157227829578209	NA	"prevalence"	185	26
"ASV323"	"nb_seq"	"nb_seq"	"nb_seq"	0.931534574924912	0	0.23611328244545	7.97045807131396e-05	0.0111432774235432	0.000159402808606093	0.0157227829578209	NA	"prevalence"	185	34
"ASV453"	"nb_seq"	"nb_seq"	"nb_seq"	1.01776662322943	0	0.257814469094841	7.89152514911595e-05	0.0111432774235432	0.000157824275365401	0.0157227829578209	NA	"prevalence"	185	27
"ASV670"	"nb_seq"	"nb_seq"	"nb_seq"	1.10846867459117	0	0.281023570978862	8.00008581323713e-05	0.0111432774235432	0.000159995316127441	0.0157227829578209	NA	"prevalence"	185	24
"ASV1112"	"nb_seq"	"nb_seq"	"nb_seq"	-6.67466995386228	-1.24755702628068	1.10491568675816	8.35588899817941e-05	0.0113404411454778	8.35588899817941e-05	0.0116853893836078	NA	"abundance"	185	27
"ASV1605"	"nb_seq"	"nb_seq"	"nb_seq"	1.33191295996972	0	0.339945737415102	8.9280648899937e-05	0.0115259140153016	0.000178553326765606	0.0166466640030704	NA	"prevalence"	185	14
"ASV244"	"nb_seq"	"nb_seq"	"nb_seq"	0.921631151501877	0	0.235119559470203	8.860762258997e-05	0.0115259140153016	0.000177207393869159	0.0166466640030704	NA	"prevalence"	185	31
"ASV754"	"nb_seq"	"nb_seq"	"nb_seq"	1.02214909485543	0	0.26200487070032	9.56933451323952e-05	0.0120596398996611	0.000191377533048488	0.0173962177541075	NA	"prevalence"	185	24
"ASV181"	"nb_seq"	"nb_seq"	"nb_seq"	1.20639834833881	0	0.311226529196961	0.000106069573361681	0.0130564244605436	0.000212127895968968	0.018364214993885	NA	"prevalence"	185	17
"ASV469"	"nb_seq"	"nb_seq"	"nb_seq"	0.974127344367209	0	0.252282171681507	0.000112803260701956	0.0132681701976767	0.000225593796828287	0.0186422510288102	NA	"prevalence"	185	25
"ASV521"	"nb_seq"	"nb_seq"	"nb_seq"	0.989005104112709	0	0.255983109809004	0.000111748216593002	0.0132681701976767	0.000223483945522093	0.0186422510288102	NA	"prevalence"	185	36
"ASV10"	"nb_seq"	"nb_seq"	"nb_seq"	0.81508876607125	0	0.211934013448912	0.000120083600181402	0.0135234573565992	0.000240152780291772	0.0189825110682801	NA	"prevalence"	185	48
"ASV1421"	"nb_seq"	"nb_seq"	"nb_seq"	1.30025273073586	0	0.33770404059214	0.000117986265633693	0.0135234573565992	0.000235958610508508	0.0189825110682801	NA	"prevalence"	185	17
"ASV738"	"nb_seq"	"nb_seq"	"nb_seq"	1.13647290742936	0	0.296389753737278	0.000125878015659217	0.0138806736850882	0.000251740186043608	0.0190693190928033	NA	"prevalence"	185	20
"ASV612"	"nb_seq"	"nb_seq"	"nb_seq"	0.890394956195315	0	0.235007350407392	0.000151379031338189	0.0163520247525109	0.000302735147065248	0.0224641835659029	NA	"prevalence"	185	33
"ASV420"	"nb_seq"	"nb_seq"	"nb_seq"	-3.44656446351647	0	0.92020995394259	0.000180098703118693	0.0188258308462092	0.000360164970694521	0.0251838429508707	NA	"prevalence"	185	37
"ASV1052"	"nb_seq"	"nb_seq"	"nb_seq"	-5.8076101235192	-1.24755702628068	1.01799485803345	0.000209357884666139	0.0205161426961152	0.000209357884666139	0.018364214993885	NA	"abundance"	185	29
"ASV287"	"nb_seq"	"nb_seq"	"nb_seq"	1.20024677292716	0	0.32454144158992	0.00021706102229028	0.0205161426961152	0.000434074929093161	0.028696298948777	NA	"prevalence"	185	16
"ASV546"	"nb_seq"	"nb_seq"	"nb_seq"	0.852889957530001	0	0.230450117473323	0.000214773247556275	0.0205161426961152	0.000429500367564684	0.028696298948777	NA	"prevalence"	185	29
"ASV784"	"nb_seq"	"nb_seq"	"nb_seq"	1.04780367516458	0	0.282415597876551	0.000207138091261938	0.0205161426961152	0.000414233276335024	0.0284179659010217	NA	"prevalence"	185	25
"ASV262"	"nb_seq"	"nb_seq"	"nb_seq"	0.887651498383991	0	0.242134076640675	0.000246421754380362	0.0228826376479869	0.000492782785079692	0.0319956822598172	NA	"prevalence"	185	33
"ASV509"	"nb_seq"	"nb_seq"	"nb_seq"	-6.80577245620924	-1.24755702628068	1.37781442224537	0.000251255537444983	0.0229292337878672	0.000251255537444983	0.0190693190928033	NA	"abundance"	185	52
"ASV139"	"nb_seq"	"nb_seq"	"nb_seq"	0.829742940204587	0	0.229733194480514	0.000304116885992189	0.0271981833334481	0.000608141284904032	0.0386498823123022	NA	"prevalence"	185	32
"ASV390"	"nb_seq"	"nb_seq"	"nb_seq"	0.896059155477226	0	0.248338638553878	0.000308311165691836	0.0271981833334481	0.000616527275608781	0.0386498823123022	NA	"prevalence"	185	31
"ASV884"	"nb_seq"	"nb_seq"	"nb_seq"	-5.63127450568174	-1.24755702628068	1.02533846134723	0.000316504095925207	0.0274632160611823	0.000316504095925207	0.0230161778556811	NA	"abundance"	185	30
"ASV378"	"nb_seq"	"nb_seq"	"nb_seq"	1.42232918964792	-1.24755702628068	0.59114590251215	0.000364997002687106	0.0282125329314084	6.0120405043061e-06	0.00312282561052242	NA	"abundance"	185	34
"ASV790"	"nb_seq"	"nb_seq"	"nb_seq"	-4.97357493145173	-1.24755702628068	0.879421956401763	0.000336275982243173	0.0282125329314084	0.000336275982243173	0.023974499439925	NA	"abundance"	185	29
"ASV1029"	"nb_seq"	"nb_seq"	"nb_seq"	1.4567255437892	0	0.408527122089987	0.000362749523886549	0.0282125329314084	0.000725367460556018	0.0439572681096947	NA	"prevalence"	185	10
"ASV109"	"nb_seq"	"nb_seq"	"nb_seq"	0.935662971664418	0	0.263117966301596	0.000376459789649934	0.0282125329314084	0.000752777857326645	0.0443791039475157	NA	"prevalence"	185	26
"ASV538"	"nb_seq"	"nb_seq"	"nb_seq"	1.03891812285102	0	0.292267803499374	0.000378441307033818	0.0282125329314084	0.000756739396244767	0.0443791039475157	NA	"prevalence"	185	21
"ASV768"	"nb_seq"	"nb_seq"	"nb_seq"	1.14876933202774	0	0.321490379993636	0.000352561797344181	0.0282125329314084	0.000704999294867416	0.0434470751887784	NA	"prevalence"	185	18
"ASV1039"	"nb_seq"	"nb_seq"	"nb_seq"	1.38530331378977	0	0.391397947582644	0.000401078758869307	0.029402259335131	0.000801996653567798	0.0459792382951934	NA	"prevalence"	185	10
"ASV310"	"nb_seq"	"nb_seq"	"nb_seq"	1.15899392329393	0	0.327925775179791	0.000408829103111764	0.029402259335131	0.000817491064987977	0.0459792382951934	NA	"prevalence"	185	18
"ASV677"	"nb_seq"	"nb_seq"	"nb_seq"	1.35042758101328	0	0.382245946946128	0.000411065027545758	0.029402259335131	0.000821961080634645	0.0459792382951934	NA	"prevalence"	185	14
"ASV1185"	"nb_seq"	"nb_seq"	"nb_seq"	1.41739191766233	0	0.402210720878325	0.000425078915196307	0.0299992359751207	0.000849977138308469	0.0468260132559029	NA	"prevalence"	185	9
"ASV559"	"nb_seq"	"nb_seq"	"nb_seq"	0.907552235157495	0	0.257918843282727	0.000433583147288134	0.0301508299819044	0.000866978300230656	0.0468962163804048	NA	"prevalence"	185	25
"ASV983"	"nb_seq"	"nb_seq"	"nb_seq"	1.10973474372374	0	0.315652420271211	0.0004386196691114	0.0301508299819044	0.00087704695100867	0.0468962163804048	NA	"prevalence"	185	12
"ASV356"	"nb_seq"	"nb_seq"	"nb_seq"	0.727819557591225	0	0.209104928596506	0.000500212157206099	0.0335142145328087	0.00100017410220998	0.0519519005090785	NA	"prevalence"	185	52
"ASV260"	"nb_seq"	"nb_seq"	"nb_seq"	0.976610835482796	0	0.281890745910665	0.000531215713573064	0.0347126515054596	0.00106214923701178	0.05439400881373	NA	"prevalence"	185	23
"ASV355"	"nb_seq"	"nb_seq"	"nb_seq"	0.960789801670825	0	0.279744753167635	0.000593597595455394	0.0378543623222337	0.00118684283280546	0.0597705947069269	NA	"prevalence"	185	13
"ASV186"	"nb_seq"	"nb_seq"	"nb_seq"	1.03656788056679	0	0.302719191214553	0.000616636022497555	0.037951796128832	0.00123289180501087	0.0597705947069269	NA	"prevalence"	185	20
"ASV572"	"nb_seq"	"nb_seq"	"nb_seq"	0.956522319700555	0	0.279078577764422	0.000609323134587351	0.037951796128832	0.00121827499449236	0.0597705947069269	NA	"prevalence"	185	16
"ASV774"	"nb_seq"	"nb_seq"	"nb_seq"	1.05845793983421	0	0.309056292848974	0.000615237884079865	0.037951796128832	0.00123009725050572	0.0597705947069269	NA	"prevalence"	185	20
"ASV1002"	"nb_seq"	"nb_seq"	"nb_seq"	1.23545185701399	0	0.36258713625968	0.000656031984051194	0.0394588328588974	0.00131163359013829	0.0611423042787542	NA	"prevalence"	185	11
"ASV517"	"nb_seq"	"nb_seq"	"nb_seq"	1.22020921809742	0	0.358992663899003	0.000676374325461439	0.0402252730861505	0.00135229116869473	0.0622396289794184	NA	"prevalence"	185	12
"ASV130"	"nb_seq"	"nb_seq"	"nb_seq"	0.920721956745364	0	0.272280790214322	0.000720869303669079	0.0419292442233015	0.00144121895478519	0.0655034014949867	NA	"prevalence"	185	21
"ASV2"	"Height"	"Middle"	"HeightMiddle"	-3.55310647303381	0.154451032434045	1.04384831175858	0.000737776614537666	0.0424462132689986	0.00147500891474237	0.066211511283991	NA	"abundance"	185	137
"ASV424"	"nb_seq"	"nb_seq"	"nb_seq"	1.07058433376586	0	0.318634261691285	0.000779661919035554	0.0443736616930665	0.00155871596536311	0.0690846303621032	NA	"prevalence"	185	15
"ASV89"	"nb_seq"	"nb_seq"	"nb_seq"	0.819272612484262	0	0.244071658238314	0.000788818311891564	0.0444171843068303	0.00157701438945395	0.0690846303621032	NA	"prevalence"	185	24
"ASV926"	"nb_seq"	"nb_seq"	"nb_seq"	1.09629954425215	0	0.32725392839028	0.000808125551610342	0.0450253531018267	0.00161559803631352	0.069932315000428	NA	"prevalence"	185	13
"ASV6"	"nb_seq"	"nb_seq"	"nb_seq"	0.899631205546438	0	0.268879766072661	0.000820309345494945	0.0452280975594244	0.00163994578356758	0.0701510925770793	NA	"prevalence"	185	24
"ASV121"	"nb_seq"	"nb_seq"	"nb_seq"	0.843011820912145	0	0.252975023338284	0.000861030328615756	0.045574335293632	0.00172131928400472	0.0711217831436494	NA	"prevalence"	185	29
"ASV342"	"nb_seq"	"nb_seq"	"nb_seq"	0.978665133353101	0	0.293503140386792	0.00085474979680879	0.045574335293632	0.00170876899640244	0.0711217831436494	NA	"prevalence"	185	21
"ASV550"	"nb_seq"	"nb_seq"	"nb_seq"	0.751550896969966	0	0.225203209149084	0.00084623312415463	0.045574335293632	0.00169175013780884	0.0711217831436494	NA	"prevalence"	185	36
"ASV769"	"nb_seq"	"nb_seq"	"nb_seq"	0.91647679296649	0	0.275325808922322	0.000872525919649376	0.0457255415119222	0.00174429053781829	0.0712611280394079	NA	"prevalence"	185	26
"ASV749"	"nb_seq"	"nb_seq"	"nb_seq"	-3.08859846535499	-1.24755702628068	0.474451373320936	0.000918497159381415	0.0471362667902292	0.000918497159381415	0.0484008068334902	NA	"abundance"	185	45
"ASV81"	"nb_seq"	"nb_seq"	"nb_seq"	2.48799846621834	-1.24755702628068	0.717825936580674	0.00093559268165766	0.047162781562038	0.00187031002964935	0.0755605251978337	NA	"abundance"	185	16
"ASV842"	"nb_seq"	"nb_seq"	"nb_seq"	0.863397826428219	0	0.262227734408981	0.000992833777536444	0.0486580480046333	0.00198468183616307	0.0793000346844937	NA	"prevalence"	185	23
"ASV799"	"nb_seq"	"nb_seq"	"nb_seq"	0.90837786889981	0	0.276151692156558	0.00100395422550866	0.0487516487671315	0.0020069005269304	0.0793161990860754	NA	"prevalence"	185	17
"ASV587"	"nb_seq"	"nb_seq"	"nb_seq"	1.09693467651881	-1.24755702628068	0.372025568027207	0.00111547049923977	0.0531908590313161	0.00222969672404486	0.0871739493400766	NA	"abundance"	185	18
"ASV1001"	"nb_seq"	"nb_seq"	"nb_seq"	0.819011917883633	0	0.252309762641899	0.00117015331946762	0.0553001921423404	0.00233893738014418	0.0904720884489814	NA	"prevalence"	185	27
"ASV887"	"nb_seq"	"nb_seq"	"nb_seq"	0.75267457596088	0	0.232160974119268	0.00118678419809205	0.055589812039834	0.00237215993945127	0.090791300419419	NA	"prevalence"	185	40
"ASV859"	"nb_seq"	"nb_seq"	"nb_seq"	-5.20089095336348	-1.24755702628068	1.08823565739407	0.00126013771897471	0.0579992082307228	0.00126013771897471	0.0602876413972636	NA	"abundance"	185	35
"ASV564"	"nb_seq"	"nb_seq"	"nb_seq"	1.26607577372323	0	0.392295840059972	0.00124942758758289	0.0579992082307228	0.00249729410586916	0.0945850142597945	NA	"prevalence"	185	7
"ASV505"	"nb_seq"	"nb_seq"	"nb_seq"	-4.04236805740974	-1.24755702628068	0.771965207056528	0.00129020832733229	0.0583303492757125	0.00129020832733229	0.0609246425737688	NA	"abundance"	185	41
"ASV151"	"nb_seq"	"nb_seq"	"nb_seq"	0.851502170271975	0	0.264779387178268	0.00130039320131005	0.0583303492757125	0.00259909538014208	0.0963398781539198	NA	"prevalence"	185	17
"ASV369"	"nb_seq"	"nb_seq"	"nb_seq"	0.808488402350016	0	0.251044450833661	0.00127967640051521	0.0583303492757125	0.00255771522934038	0.0958747688029031	NA	"prevalence"	185	29
"ASV277"	"nb_seq"	"nb_seq"	"nb_seq"	0.810522365991608	0	0.25224377506683	0.00131241896891994	0.0583750722898591	0.0026231154942899	0.0963398781539198	NA	"prevalence"	185	26
"ASV551"	"nb_seq"	"nb_seq"	"nb_seq"	0.914066169318904	0	0.28504545688588	0.00134249086940751	0.0591151105940254	0.00268317945708058	0.0975604050594499	NA	"prevalence"	185	20
"ASV610"	"nb_seq"	"nb_seq"	"nb_seq"	0.702360407589876	0	0.219516200770677	0.00137626328400599	0.0597095210019976	0.00275063246738508	0.0990227688258628	NA	"prevalence"	185	43
"ASV599"	"nb_seq"	"nb_seq"	"nb_seq"	1.16016417483587	0	0.365454729535269	0.00150055077866962	0.0640517360604703	0.00299884990469988	0.105862313140668	NA	"prevalence"	185	17
"ASV811"	"nb_seq"	"nb_seq"	"nb_seq"	-1.57765875667734	0	0.496774855383604	0.00149422716259126	0.0640517360604703	0.00298622161036909	0.105862313140668	NA	"prevalence"	185	28
"ASV172"	"nb_seq"	"nb_seq"	"nb_seq"	0.725106700135028	0	0.228850160452318	0.0015323934286624	0.0648876673432806	0.00306243862770459	0.106047874765085	NA	"prevalence"	185	31
"ASV426"	"nb_seq"	"nb_seq"	"nb_seq"	0.786555324551897	0	0.249888911670872	0.00164605552688343	0.0689234324702152	0.00328940155496928	0.111260135503973	NA	"prevalence"	185	24
"ASV83"	"nb_seq"	"nb_seq"	"nb_seq"	0.805420951043715	0	0.255993368632243	0.0016537456874584	0.0689234324702152	0.00330475650011802	0.111260135503973	NA	"prevalence"	185	26
"ASV1027"	"nb_seq"	"nb_seq"	"nb_seq"	1.1720505724369	0	0.374315783734907	0.00174104657185052	0.0703462557618687	0.00347906190053569	0.112945259556676	NA	"prevalence"	185	8
"ASV477"	"nb_seq"	"nb_seq"	"nb_seq"	1.06155767556939	0	0.338574111913123	0.00171633053579941	0.0703462557618687	0.00342971528109071	0.112945259556676	NA	"prevalence"	185	12
"ASV541"	"nb_seq"	"nb_seq"	"nb_seq"	1.1720505724369	0	0.374315783734907	0.00174104657185052	0.0703462557618687	0.00347906190053569	0.112945259556676	NA	"prevalence"	185	7
"ASV962"	"nb_seq"	"nb_seq"	"nb_seq"	1.1720505724369	0	0.374315783734907	0.00174104657185052	0.0703462557618687	0.00347906190053569	0.112945259556676	NA	"prevalence"	185	8
"ASV472"	"nb_seq"	"nb_seq"	"nb_seq"	0.730193953288651	0	0.235395356883625	0.00192224699473297	0.0764996491964029	0.00384079895595717	0.122501271963687	NA	"prevalence"	185	33
"ASV935"	"nb_seq"	"nb_seq"	"nb_seq"	1.02100160644784	0	0.329142766387092	0.00192216488446861	0.0764996491964029	0.00384063505109414	0.122501271963687	NA	"prevalence"	185	12
"ASV1254"	"nb_seq"	"nb_seq"	"nb_seq"	0.771265929793065	0	0.24913272548786	0.00196280477486731	0.0775307886072589	0.00392175694715039	0.123995723998598	NA	"prevalence"	185	18
"ASV1293"	"nb_seq"	"nb_seq"	"nb_seq"	0.931565601687421	0	0.301322086863236	0.00199084835652306	0.0780560026005673	0.00397773323586746	0.12468136246219	NA	"prevalence"	185	14
"ASV443"	"nb_seq"	"nb_seq"	"nb_seq"	0.838014029182028	0	0.271662736133771	0.00203717254981894	0.0792849581337621	0.00407019502764014	0.126489137782048	NA	"prevalence"	185	17
"ASV463"	"nb_seq"	"nb_seq"	"nb_seq"	-3.43330262865517	-1.24755702628068	0.549022438199956	0.00207380292366477	0.0801214516420265	0.00414330518876334	0.12766998022325	NA	"abundance"	185	22
"ASV187"	"nb_seq"	"nb_seq"	"nb_seq"	1.1414828499808	-1.24755702628068	0.672035895498421	0.00210878109986679	0.0808824518956152	3.94810007138406e-07	0.000478509728651748	NA	"abundance"	185	43
"ASV1284"	"nb_seq"	"nb_seq"	"nb_seq"	1.20885790153928	0	0.39425612333022	0.0021681705015934	0.0825620608988049	0.00433164003986282	0.130631425407102	NA	"prevalence"	185	7
"ASV919"	"nb_seq"	"nb_seq"	"nb_seq"	0.778051525945104	0	0.254576615403321	0.00224119172450218	0.084132112041064	0.00447736050865838	0.131287764592596	NA	"prevalence"	185	28
"ASV936"	"nb_seq"	"nb_seq"	"nb_seq"	1.11343527524599	0	0.364297368233568	0.00224018755630753	0.084132112041064	0.00447535667232763	0.131287764592596	NA	"prevalence"	185	13
"ASV1359"	"nb_seq"	"nb_seq"	"nb_seq"	1.03380095637803	0	0.339194255867319	0.00230512660450241	0.084729410539106	0.00460493960034204	0.131839058164123	NA	"prevalence"	185	13
"ASV214"	"nb_seq"	"nb_seq"	"nb_seq"	0.857055191098449	0	0.281094289287604	0.00229608007986724	0.084729410539106	0.00458688817600132	0.131839058164123	NA	"prevalence"	185	23
"ASV34"	"nb_seq"	"nb_seq"	"nb_seq"	0.656867111695947	0	0.215448744990888	0.00229732616768243	0.084729410539106	0.00458937462784415	0.131839058164123	NA	"prevalence"	185	45
"ASV126"	"nb_seq"	"nb_seq"	"nb_seq"	0.710671664328556	0	0.234034180059791	0.00239250951877577	0.0873348474681389	0.0047792949357541	0.135761846768765	NA	"prevalence"	185	35
"ASV132"	"nb_seq"	"nb_seq"	"nb_seq"	0.78888203321289	0	0.261309571178017	0.00253647573523799	0.0919559319631141	0.00506651776132052	0.141958863303227	NA	"prevalence"	185	20
"ASV1110"	"nb_seq"	"nb_seq"	"nb_seq"	0.812269683072575	0	0.269750295909039	0.00260225045748414	0.0930656194017807	0.0051977292075248	0.141958863303227	NA	"prevalence"	185	16
"ASV478"	"nb_seq"	"nb_seq"	"nb_seq"	1.28690997719828	0	0.427235168767892	0.00259377252159445	0.0930656194017807	0.00518081738729512	0.141958863303227	NA	"prevalence"	185	8
"ASV1139"	"nb_seq"	"nb_seq"	"nb_seq"	0.913526988438252	0	0.303805472875336	0.00263885671995414	0.093116457458115	0.00527074987511983	0.141958863303227	NA	"prevalence"	185	13
"ASV756"	"nb_seq"	"nb_seq"	"nb_seq"	0.719520855054784	0	0.23915258001618	0.00262431288313071	0.093116457458115	0.00524173874815284	0.141958863303227	NA	"prevalence"	185	29
"ASV1483"	"nb_seq"	"nb_seq"	"nb_seq"	1.00473307403118	0	0.336592121210042	0.00283562921757945	0.0993972546268083	0.00566321764209932	0.151407789313773	NA	"prevalence"	185	16
"ASV587"	"nb_seq"	"nb_seq"	"nb_seq"	0.704411757042392	0	0.29377142383428	0.0164928510811536	0.314035652724818	0.00222969672404486	0.0871739493400766	NA	"prevalence"	185	18
"ASV734"	"nb_seq"	"nb_seq"	"nb_seq"	-0.29332150519858	-1.24755702628068	0.33417893782511	0.0182638461915414	0.338008873747653	4.51756866301914e-05	0.00746630893578981	NA	"abundance"	185	38
"ASV564"	"nb_seq"	"nb_seq"	"nb_seq"	10.6220193944911	-1.24755702628068	1.87060746136303	0.0241097344399156	0.391159754143919	0.00249729410586916	0.0945850142597945	NA	"abundance"	185	7
"ASV309"	"nb_seq"	"nb_seq"	"nb_seq"	0.278044657250575	-1.24755702628068	0.594742183085952	0.0272756801728683	0.418464275811571	0.000157824275365401	0.0157227829578209	NA	"abundance"	185	26
"ASV438"	"nb_seq"	"nb_seq"	"nb_seq"	0.295865639481063	-1.24755702628068	0.654302450074347	0.0374568457219269	0.504476041745951	2.62779514979944e-05	0.00636977544311385	NA	"abundance"	185	32
